session,trial,rat,RL,laggedRL,signalDuration,laggedsignalDuration,response,laggedResponse,hit,miss,cr,fa,incongHit,congHit
1.0,181.0,39.0,0.037,0.025,0.05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,182.0,39.0,0.019,0.037,0.025,0.05,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,183.0,39.0,0.02,0.019,0.0,0.025,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,184.0,39.0,0.138,0.02,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,185.0,39.0,0.151,0.138,0.5,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,186.0,39.0,0.028,0.151,0.05,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,187.0,39.0,0.073,0.028,0.05,0.05,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,188.0,39.0,0.053,0.073,0.0,0.05,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,189.0,39.0,0.02,0.053,0.025,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,190.0,39.0,0.088,0.02,0.5,0.025,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,191.0,39.0,0.029,0.088,0.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,192.0,39.0,0.024,0.029,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,193.0,39.0,0.024,0.024,0.025,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,194.0,39.0,0.013000000000000001,0.024,0.0,0.025,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,195.0,39.0,0.022,0.013000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,196.0,39.0,0.023,0.022,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,197.0,39.0,0.076,0.023,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,198.0,39.0,0.028,0.076,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,199.0,39.0,0.034,0.028,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,200.0,39.0,0.03,0.034,0.025,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,201.0,39.0,0.018000000000000002,0.03,0.0,0.025,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,202.0,39.0,0.026000000000000002,0.018000000000000002,0.05,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,203.0,39.0,0.028,0.026000000000000002,0.0,0.05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,204.0,39.0,0.036000000000000004,0.028,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,205.0,39.0,0.027,0.036000000000000004,0.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,206.0,39.0,0.026000000000000002,0.027,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,207.0,39.0,0.039,0.026000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,208.0,39.0,0.027,0.039,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2.0,2.0,40.0,0.044,0.029,0.5,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2.0,3.0,40.0,0.077,0.044,0.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2.0,4.0,40.0,0.266,0.077,0.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2.0,5.0,40.0,0.031,0.266,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2.0,6.0,40.0,0.032,0.031,0.05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2.0,7.0,40.0,0.018000000000000002,0.032,0.0,0.05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2.0,8.0,40.0,0.02,0.018000000000000002,0.025,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2.0,9.0,40.0,0.017,0.02,0.05,0.025,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2.0,10.0,40.0,0.047,0.017,0.0,0.05,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2.0,11.0,40.0,0.02,0.047,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2.0,12.0,40.0,0.025,0.02,0.025,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2.0,13.0,40.0,0.019,0.025,0.05,0.025,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2.0,14.0,40.0,0.037,0.019,0.5,0.05,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
